ImageURN, TextURN
"urn:cite:ecod:einsiedeln121img.sbe_0121_321@0.136,0.0795,0.527,0.0555",Page 321
"urn:cite:ecod:einsiedeln121img.sbe_0121_321@0.137,0.1358,0.579,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_321@0.087,0.2056,0.572,0.0518",
"urn:cite:ecod:einsiedeln121img.sbe_0121_321@0.069,0.2476,0.649,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_321@0.143,0.3031,0.684,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_321@0.082,0.3533,0.606,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_321@0.145,0.4291,0.414,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_321@0.079,0.5019,0.263,0.0563",
"urn:cite:ecod:einsiedeln121img.sbe_0121_321@0.09,0.5499,0.615,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_321@0.154,0.6182,0.546,0.0555",
"urn:cite:ecod:einsiedeln121img.sbe_0121_321@0.215,0.6909,0.246,0.048",
"urn:cite:ecod:einsiedeln121img.sbe_0121_321@0.094,0.6669,0.114,0.1335",Large d
"urn:cite:ecod:einsiedeln121img.sbe_0121_321@0.224,0.7397,0.459,0.0555",
"urn:cite:ecod:einsiedeln121img.sbe_0121_321@0.095,0.8012,0.593,0.0495",
"urn:cite:ecod:einsiedeln121img.sbe_0121_322@0.458,0.0915,0.253,0.0458",Page 322
"urn:cite:ecod:einsiedeln121img.sbe_0121_322@0.224,0.0698,0.27,0.2011",Large D
"urn:cite:ecod:einsiedeln121img.sbe_0121_322@0.511,0.12,0.348,0.0788",
"urn:cite:ecod:einsiedeln121img.sbe_0121_322@0.504,0.1958,0.369,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_322@0.328,0.2491,0.564,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_322@0.331,0.3136,0.527,0.0533",
"urn:cite:ecod:einsiedeln121img.sbe_0121_322@0.329,0.3638,0.395,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_322@0.268,0.4194,0.653,0.0825",
"urn:cite:ecod:einsiedeln121img.sbe_0121_322@0.257,0.5056,0.59,0.0525",
"urn:cite:ecod:einsiedeln121img.sbe_0121_322@0.254,0.5521,0.627,0.075",
"urn:cite:ecod:einsiedeln121img.sbe_0121_322@0.312,0.6219,0.569,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_322@0.319,0.6782,0.588,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_322@0.325,0.7374,0.589,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_322@0.326,0.8072,0.381,0.051",
"urn:cite:ecod:einsiedeln121img.sbe_0121_323@0.09,0.072,0.196,0.1403",Page 323 Large D
"urn:cite:ecod:einsiedeln121img.sbe_0121_323@0.258,0.0953,0.391,0.0375",
"urn:cite:ecod:einsiedeln121img.sbe_0121_323@0.237,0.123,0.563,0.0818",
"urn:cite:ecod:einsiedeln121img.sbe_0121_323@0.131,0.1688,0.634,0.087",
"urn:cite:ecod:einsiedeln121img.sbe_0121_323@0.132,0.2453,0.609,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_323@0.736,0.1943,0.097,0.0645",continuation of neumes
"urn:cite:ecod:einsiedeln121img.sbe_0121_323@0.066,0.3031,0.748,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_323@0.132,0.3488,0.645,0.078",
"urn:cite:ecod:einsiedeln121img.sbe_0121_323@0.727,0.3091,0.082,0.0623",continuation of neumes
"urn:cite:ecod:einsiedeln121img.sbe_0121_323@0.583,0.3908,0.131,0.0315",continuation of neumes
"urn:cite:ecod:einsiedeln121img.sbe_0121_323@0.142,0.4164,0.614,0.0735",
"urn:cite:ecod:einsiedeln121img.sbe_0121_323@0.066,0.5026,0.368,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_323@0.063,0.5619,0.633,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_323@0.142,0.6204,0.523,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_323@0.139,0.6737,0.526,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_323@0.139,0.7359,0.56,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_323@0.139,0.7922,0.515,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_324@0.51,0.0863,0.259,0.0405",Page 324
"urn:cite:ecod:einsiedeln121img.sbe_0121_324@0.242,0.066,0.339,0.2491",Large R
"urn:cite:ecod:einsiedeln121img.sbe_0121_324@0.493,0.1238,0.42,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_324@0.507,0.1943,0.321,0.0473",
