ImageURN, TextURN
"urn:cite:ecod:einsiedeln121img.sbe_0121_081@0.0851,0.0585,0.5275,0.0885", Page 81
"urn:cite:ecod:einsiedeln121img.sbe_0121_081@0.0651,0.144,0.4535,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_081@0.3093,0.1965,0.3554,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_081@0.031,0.1928,0.2773,0.2806", Large C
"urn:cite:ecod:einsiedeln121img.sbe_0121_081@0.2873,0.2491,0.3043,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_081@0.2983,0.3046,0.3594,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_081@0.1271,0.3638,0.5766,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_081@0.1261,0.4404,0.5485,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_081@0.1271,0.4996,0.5485,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_081@0.1271,0.5581,0.5716,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_081@0.1281,0.5979,0.7177,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_081@0.0661,0.6729,0.5866,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_081@0.1351,0.7329,0.5866,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_081@0.1371,0.7764,0.6537,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_082@0.3754,0.0795,0.5866,0.066",Page 82
"urn:cite:ecod:einsiedeln121img.sbe_0121_082@0.3784,0.1373,0.3203,0.0555",
"urn:cite:ecod:einsiedeln121img.sbe_0121_082@0.2943,0.1725,0.6867,0.0848",
"urn:cite:ecod:einsiedeln121img.sbe_0121_082@0.3654,0.2498,0.5325,0.072",
"urn:cite:ecod:einsiedeln121img.sbe_0121_082@0.3694,0.3173,0.5325,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_082@0.3654,0.3698,0.5455,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_082@0.3634,0.4344,0.6076,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_082@0.2462,0.4944,0.6567,0.078",
"urn:cite:ecod:einsiedeln121img.sbe_0121_082@0.3624,0.5589,0.5626,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_082@0.3714,0.6129,0.1992,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_082@0.2983,0.6752,0.6657,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_082@0.3624,0.7269,0.4985,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_082@0.3023,0.7869,0.5956,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_083@0.1061,0.0713,0.5856,0.0728",Page 83
"urn:cite:ecod:einsiedeln121img.sbe_0121_083@0.0501,0.1425,0.6166,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_083@0.1191,0.2048,0.5325,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_083@0.1171,0.2588,0.4865,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_083@0.043,0.3121,0.6066,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_083@0.1191,0.3728,0.6276,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_083@0.0571,0.4441,0.6727,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_083@0.1221,0.4959,0.5706,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_083@0.1221,0.5589,0.5295,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_083@0.0541,0.6167,0.5666,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_083@0.1211,0.6699,0.5506,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_083@0.1261,0.7284,0.4244,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_083@0.0671,0.7862,0.6116,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_084@0.3584,0.0833,0.5806,0.0578",Page 84
"urn:cite:ecod:einsiedeln121img.sbe_0121_084@0.3524,0.1388,0.5455,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_084@0.3534,0.1965,0.5836,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_084@0.3544,0.2521,0.6046,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_084@0.3403,0.3083,0.5716,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_084@0.2843,0.3773,0.6076,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_084@0.3493,0.4366,0.5556,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_084@0.3483,0.4981,0.5075,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_084@0.3453,0.5551,0.3564,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_084@0.5455,0.6212,0.3504,0.0548",
"urn:cite:ecod:einsiedeln121img.sbe_0121_084@0.3724,0.6084,0.1722,0.1868",
"urn:cite:ecod:einsiedeln121img.sbe_0121_084@0.5445,0.6639,0.3263,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_084@0.5405,0.7337,0.3093,0.0548",
"urn:cite:ecod:einsiedeln121img.sbe_0121_084@0.3544,0.7824,0.5095,0.0585",
,Page 85
,
,
,
,
,
,
,
,
