Image
"urn:cite:ecod:einsiedeln121img.sbe_0121_071@0.032,0.054,0.6036,0.0788",
"urn:cite:ecod:einsiedeln121img.sbe_0121_071@0.0971,0.1185,0.6747,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_071@0.1051,0.156,0.5876,0.0885",
"urn:cite:ecod:einsiedeln121img.sbe_0121_071@0.1001,0.2386,0.5676,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_071@0.045,0.3038,0.5996,0.0743",
"urn:cite:ecod:einsiedeln121img.sbe_0121_071@0.1762,0.3593,0.5996,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_071@0.036,0.3803,0.1992,0.141", moderately giant letter R
"urn:cite:ecod:einsiedeln121img.sbe_0121_071@0.036,0.4194,0.6296,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_071@0.0871,0.4779,0.6356,0.0758",
"urn:cite:ecod:einsiedeln121img.sbe_0121_071@0.0901,0.5469,0.6356,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_071@0.1051,0.6047,0.5576,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_071@0.1101,0.6564,0.6697,0.0825",
"urn:cite:ecod:einsiedeln121img.sbe_0121_071@0.1051,0.7224,0.5325,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_071@0.1021,0.7802,0.5836,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_072@0.3584,0.0608,0.5355,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_072@0.3493,0.1223,0.5355,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_072@0.2633,0.1838,0.6617,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_072@0.2983,0.2491,0.6617,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_072@0.3203,0.3091,0.5996,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_072@0.3714,0.3586,0.5435,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_072@0.3664,0.4239,0.5746,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_072@0.3714,0.4824,0.5746,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_072@0.3624,0.5446,0.3253,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_072@0.2633,0.6077,0.6757,0.0788",
"urn:cite:ecod:einsiedeln121img.sbe_0121_072@0.3724,0.6684,0.5616,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_072@0.3684,0.7247,0.5345,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_072@0.3654,0.7832,0.5345,0.0653",
