imageUrn, textUrn
"urn:cite:ecod:einsiedeln121img.sbe_0121_031@0.046,0.0473,0.7337,0.0705",pg 31
"urn:cite:ecod:einsiedeln121img.sbe_0121_031@0.1101,0.105,0.5826,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_031@0.1211,0.162,0.5676,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_031@0.1251,0.2228,0.5606,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_031@0.0691,0.2851,0.5596,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_031@0.0751,0.3413,0.5536,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_031@0.1201,0.4029,0.5185,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_031@0.1201,0.4704,0.5856,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_031@0.1181,0.5304,0.5185,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_031@0.1231,0.5979,0.2753,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_031@0.0511,0.6452,0.6226,0.0698",
"urn:cite:ecod:einsiedeln121img.sbe_0121_031@0.0511,0.7127,0.7417,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_031@0.0781,0.7644,0.6366,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_032@0.3554,0.0495,0.5225,0.0638",pg 32
"urn:cite:ecod:einsiedeln121img.sbe_0121_032@0.2713,0.093,0.6787,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_032@0.3514,0.1575,0.5375,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_032@0.3514,0.2198,0.5375,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_032@0.3493,0.2768,0.6126,0.0623", 
"urn:cite:ecod:einsiedeln121img.sbe_0121_032@0.3463,0.3368,0.4134,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_032@0.2623,0.4006,0.6216,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_032@0.3443,0.4644,0.6276,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_032@0.3443,0.5259,0.5936,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_032@0.3504,0.5896,0.5546,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_032@0.2813,0.6497,0.6236,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_032@0.3403,0.7097,0.5205,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_032@0.3403,0.7652,0.5596,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_033@0.1071,0.051,0.6236,0.0585",pg 33
"urn:cite:ecod:einsiedeln121img.sbe_0121_033@0.0951,0.1013,0.5596,0.0585",
"urn:cite:ecod:einsiedeln121img.sbe_0121_033@0.0541,0.1575,0.6006,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_033@0.1201,0.2168,0.5345,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_033@0.2803,0.2888,0.3473,0.0488",
"urn:cite:ecod:einsiedeln121img.sbe_0121_033@0.038,0.2738,0.2673,0.2101",
"urn:cite:ecod:einsiedeln121img.sbe_0121_033@0.2723,0.3278,0.4234,0.0758",
"urn:cite:ecod:einsiedeln121img.sbe_0121_033@0.3013,0.3938,0.2883,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_033@0.1171,0.4651,0.5055,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_033@0.1171,0.5274,0.5195,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_033@0.1211,0.5994,0.5465,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_033@0.1241,0.6489,0.5285,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_033@0.1211,0.7142,0.4875,0.0563",
"urn:cite:ecod:einsiedeln121img.sbe_0121_033@0.0671,0.7712,0.5846,0.0563",
"urn:cite:ecod:einsiedeln121img.sbe_0121_034@0.2713,0.0353,0.6026,0.0795",pg 34
"urn:cite:ecod:einsiedeln121img.sbe_0121_034@0.3594,0.1043,0.5546,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_034@0.3634,0.165,0.4184,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_034@0.2873,0.2198,0.6817,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_034@0.3594,0.2768,0.5335,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_034@0.3564,0.3473,0.6116,0.0555",
"urn:cite:ecod:einsiedeln121img.sbe_0121_034@0.2833,0.4059,0.5215,0.0758",
"urn:cite:ecod:einsiedeln121img.sbe_0121_034@0.3323,0.4156,0.6146,0.1133",
"urn:cite:ecod:einsiedeln121img.sbe_0121_034@0.3413,0.5221,0.6266,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_034@0.2903,0.5971,0.6266,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_034@0.3604,0.6542,0.5305,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_034@0.3584,0.7127,0.5185,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_034@0.3544,0.7637,0.5656,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_035@0.03,0.0548,0.6186,0.0623",pg 35
"urn:cite:ecod:einsiedeln121img.sbe_0121_035@0.1151,0.1043,0.6787,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_035@0.1141,0.1665,0.6787,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_035@0.0501,0.2281,0.6356,0.0518",
"urn:cite:ecod:einsiedeln121img.sbe_0121_035@0.1121,0.2813,0.5445,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_035@0.1181,0.3458,0.5445,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_035@0.1191,0.3983,0.5706,0.0668",
